Kurz,Parameter,Parameterbeschreibung,Einheit,Zusatz-Info
Windstaerke,JA_FK,Jahresmittel der Windstaerke,Bft,arithm.Mittel aus Monatsmittelwerten
Windspitze,JA_MX_FX,Absolutes Maximum der Windmaxspitze,m/s,Extrema des Jahres
Niederschlagshoehe_Max,JA_MX_RS,Maximale Niederschlagshoehe des Jahres,mm,Extrema des Jahres
Lufttemperatur_AbsMin,JA_MX_TN,Absolutes Minimum der Lufttemperatur in 2m Hoehe (Jahr),°C,Extrema des Jahres
Lufttemperatur_AbsMax,JA_MX_TX,Absolutes Maximum  der Lufttemperatur in 2m Hoehe (Jahr),°C,Extrema des Jahres
Bedeckungsgrad,JA_N,Jahresmittel des Bedeckungsgrades,Achtel,arithm.Mittel aus Monatsmittelwerten
Niederschlagshoehe,JA_RR,Jahressumme der Niederschlagshoehe,mm,Summe aus Monatssummen
Sonnenscheindauer,JA_SD_S,Jahressumme der Sonnenscheindauer,Stunde,Summe aus Monatssummen
Lufttemperatur_Min,JA_TN,Jahresmittel des Lufttemperatur Minimums,°C,arithm.Mittel aus Monats-Extremen
Lufttemperatur,JA_TT,Jahresmittel der Lufttemperatur,°C,arithm.Mittel aus Monatsmittelwerten
Lufttemperatur_Max,JA_TX,Jahresmittel der Lufttemperatur Maximum,°C,arithm.Mittel aus Monats-Extremen
Gewitter,JA_GEWITTER,Anzahl der Tage mit Gewitter im Jahr,NUMBER,Anzahl Tage pro Monat
Glatteis,JA_GLATTEIS,Anzahl der Tage mit GLATTEIS im Jahr,NUMBER,Anzahl Tage pro Monat
Graupel,JA_GRAUPEL,Anzahl der Tage mit GRAUPEL im Jahr,NUMBER,Anzahl Tage pro Monat
Hagel,JA_HAGEL,Anzahl der Tage mit Hagel im Jahr,NUMBER,Anzahl Tage pro Monat
Nebel,JA_NEBEL,Anzahl der Tage mit Nebel im Jahr,NUMBER,Anzahl Tage pro Monat
Sturm_6Bft,JA_STURM_6,Anzahl der Tage mit STURM>Bft6  im Jahr,NUMBER,Anzahl Tage pro Monat
Sturm_8Bft,JA_STURM_8,Anzahl der Tage mit STURM>Bft8  im Jahr,NUMBER,Anzahl Tage pro Monat
Tau,JA_TAU,Anzahl der Tage mit Tau im Jahr,NUMBER,Anzahl Tage pro Monat
Niederschlagshoehe_Max,JA_MX_RS,Maximale Niederschlagshoehe des Jahres,mm,Extrema des Jahres
Schneehoehe_Neu,JA_NSH,Jahressumme der Neuschneehoehe,cm,Summe aus Monatssummen
Niederschlagshoehe,JA_RR,Jahressumme der Niederschlagshoehe,mm,Summe aus Monatssummen
Schneehoehe,JA_SH_S,Jahressumme der Schneehoehe,cm,Summe aus Monatssummen
